: Regn og haglbyge                          : Rain and hail shower
: Regn og hagl med tordenvær                : Rain and hail with thunderstorm
: Regn og dis                               : Rain and mist
: Regn og dis med tordenvær                 : Rain and mist with thunderstorm
: Regn og snø                               : Rain and snow
: Regn- og snøbyge                          : Rain and snow shower
: Regn og snø med tordenvær                 : Rain and snow with thunderstorm
: Regn i nærheten                           : Rain in vicinity
: Regnbyge i nærheten                       : Rain shower in vicinity
: Regn med tordenvær                        : Rain with thunderstorm
: Sandstorm                                 : Sandstorm
: Lav tåke                                  : Shallow fog
: Lav dis                                   : Shallow mist
: Byge                                      : Shower
: Byge i nærheten                           : Shower in vicinity
: Små hagl                                  : Small hail
: Byge med små hagl                         : Small hail shower
: Små hagl med tordenvær                    : Small hail with thunderstorm
: Snø og ispellets                          : Snow and ice pellets
: Snø og tåke                               : Snow and mist
: Snøbyge                                   : Snow shower
: Snø med tordenvær                         : Snow with thunderstorm
: Vindkast                                  : Squalls
: Tordenvær                                 : Thunderstorm
: Ukjent nedbør                             : Unknown precipitation
: Byge med ukjent nedbør                    : Unknown precipitation shower
: Ukjent nedbør med tordenvær               : Unknown precipitation with thunderstorm
: Vulkansk aske                             : Volcanic ash
: Vulkansk aske i nærheten                  : Volcanic ash in vicinity
: Utbredt støv                              : Widespread dust
