113:晴                                    : Clear
113:晴                                    : Sunny
116:少云                                  : Partly cloudy
119:多云                                  : Cloudy
122:阴                                    : Overcast
143:轻雾                                  : Mist
176:局部下小雨                             : Patchy rain possible
179:局部下小雪                             : Patchy snow possible
182:局部有雨夹雪                            : Patchy sleet possible
185:局部有冻毛毛雨                          : Patchy freezing drizzle possible
200:可能打雷                               : Thundery outbreaks possible
227:小雪                                  : Blowing snow
230:暴雪                                  : Blizzard
248:雾                                    : Fog
260:冻雾                                  : Freezing fog
263:局部毛毛雨                              : Patchy light drizzle
266:毛毛雨                                 : Light drizzle
281:冻毛毛雨                               : Freezing drizzle
284:大冻毛毛雨                              : Heavy freezing drizzle
293:局部小雨                               : Patchy light rain
296:小雨                                  : Light rain
299:有时中雨                               : Moderate rain at times
302:中雨                                  : Moderate rain
305:有时大雨                               : Heavy rain at times
308:大雨                                  : Heavy rain
311:小冻雨                                 : Light freezing rain
314:中或大冻雨                              : Moderate or heavy freezing rain
317:小雨夹雪                                 : Light sleet
320:中或大雨夹雪                            : Moderate or heavy sleet
323:局部小雪                               : Patchy light snow
326:小雪                                  : Light snow
329:局部中雪                               : Patchy moderate snow
332:中雪                                  : Moderate snow
335:局部大雪                               : Patchy heavy snow
338:大雪                                  : Heavy snow
350:冰丸                                  : Ice pellets
353:小阵雨                                : Light rain shower
356:中或大阵雨                             : Moderate or heavy rain shower
359:暴阵雨                                : Torrential rain shower
362:小阵雨夹雪                             : Light sleet showers
365:中或大阵雨夹雪                          : Moderate or heavy sleet showers
368:小阵雪                                : Light snow showers
371:中或大阵雪                             : Moderate or heavy snow showers
386:局部小雷阵雨                            : Patchy light rain with thunder
389:中或大雷阵雨                            : Moderate or heavy rain with thunder
392:小雷阵雪                               : Patchy light snow with thunder
395:中或大雷阵雪                            : Moderate or heavy snow with thunder
   : 小雨和冰雹伴雷暴                            : Light rain and hail with thunderstorm              :
   : 小雨和冰粒                                  : Light rain and ice pallets                         :
   : 小雨和薄雾                                  : Light rain and mist                                :
   : 小雨和阵性霰                                : Light rain and small hail/snow pallets shower      :
   : 小雨和霰伴雷暴                              : Light rain and small hail/snow pallets with thunderstorm :
   : 小雨夹雪                                    : Light rain and snow                                :
   : 小雨夹雪和阵性霰                            : Light rain and snow and small hail/snow pallets shower :
   : 小雨和米雪                                  : Light rain and snow grains                         :
   : 小雨和阵雪                                  : Light rain and snow shower                         :
   : 小雨夹雪伴雷暴                              : Light rain and snow with thunderstorm              :
   : 小雨伴雷暴                                  : Light rain with thunderstorm                       :
   : 小阵雨                                      : Light shower                                       :
   : 小阵性冰粒                                  : Light showers of ice pellets                       :
   : 小霰                                        : Light small hail/snow pallets                      :
   : 小阵性霰                                    : Light small hail/snow pallets shower               :
   : 小霰伴雷暴                                  : Light small hail/snow pallets with thunderstorm    :
   : 小雪和冰粒                                  : Light snow and ice pallets                         :
   : 小雪和霰                                    : Light snow and small hail/snow pallets             :
   : 小雪和阵性霰                                : Light snow and small hail/snow pallets shower      :
   : 小雪和霰伴雷暴                              : Light snow and small hail/snow pallets with thunderstorm :
   : 小雪和米雪                                  : Light snow and snow grains                         :
   : 小米雪                                      : Light snow grains                                  :
   : 小阵雪                                      : Light snow shower                                  :
   : 小雪伴雷暴                                  : Light snow with thunderstorm                       :
   : 弱雷暴                                      : Light thunderstorm                                 :
   : 小未知降水                                  : Light unknown precipitation                        :
   : 弱发展旺盛的尘/沙旋风                       : Light well-developed dust/sand whirls              :
   : 低吹沙                                      : Low drifting sand                                  :
   : 大范围低吹尘                                : Low drifting widespread dust                       :
   : 薄雾伴雷暴                                  : Mist with thunderstorm                             :
   : 区域内中到大雷雨                            : Moderate or heavy rain in area with thunder        :
   : 区域内中到大雪伴雷                          : Moderate or heavy snow in area with thunder        :
   : 局部雾                                      : Partial fog                                        :
   : 附近局部有雾                                : Patches of fog in vicinity                         :
   : 附近有零星冻毛毛雨                          : Patchy freezing drizzle nearby                     :
   : 区域内零星小雨伴雷                          : Patchy light rain in area with thunder             :
   : 区域内零星小雪伴雷                          : Patchy light snow in area with thunder             :
   : 附近有零星降雨                              : Patchy rain nearby                                 :
   : 附近有零星雨夹雪                            : Patchy sleet nearby                                :
   : 附近有零星降雪                              : Patchy snow nearby                                 :
   : 雨和阵性冰雹                                : Rain and hail shower                               :
   : 雨和冰雹伴雷暴                              : Rain and hail with thunderstorm                    :
   : 雨和薄雾                                    : Rain and mist                                      :
   : 雨和薄雾伴雷暴                              : Rain and mist with thunderstorm                    :
   : 雨和阵性霰                                  : Rain and small hail/snow pallets shower            :
   : 雨和霰伴雷暴                                : Rain and small hail/snow pallets with thunderstorm :
   : 雨夹雪                                      : Rain and snow                                      :
   : 雨夹雪和阵性霰                              : Rain and snow and small hail/snow pallets shower   :
   : 雨和米雪                                    : Rain and snow grains                               :
   : 阵性雨夹雪                                  : Rain and snow shower                               :
   : 雨夹雪伴雷暴                                : Rain and snow with thunderstorm                    :
   : 附近有雨                                    : Rain in vicinity                                   :
   : 附近有阵雨                                  : Rain shower in vicinity                            :
   : 雨伴雷暴                                    : Rain with thunderstorm                             :
   : 沙                                          : Sand                                               :
   : 沙暴                                        : Sandstorm                                          :
   : 浅雾                                        : Shallow fog                                        :
   : 浅薄雾                                      : Shallow mist                                       :
   : 阵雨                                        : Shower                                             :
   : 附近有阵雨                                  : Shower in vicinity                                 :
   : 霰                                          : Small hail/snow pallets                            :
   : 阵性霰                                      : Small hail/snow pallets shower                     :
   : 霰伴雷暴                                    : Small hail/snow pallets with thunderstorm          :
   : 烟                                          : Smoke                                              :
   : 雪和冰粒                                    : Snow and ice pallets                               :
   : 雪和薄雾                                    : Snow and mist                                      :
   : 雪和阵性霰                                  : Snow and small hail/snow pellets shower            :
   : 雪和霰伴雷暴                                : Snow and small hail/snow pallets with thunderstorm :
   : 雪和米雪                                    : Snow and snow grains                               :
   : 米雪                                        : Snow grains                                        :
   : 阵雪                                        : Snow shower                                        :
   : 雪伴雷暴                                    : Snow with thunderstorm                             :
   : 飑                                          : Squalls                                            :
   : 雷暴                                        : Thunderstorm                                       :
   : 附近有雷暴                                  : Thunderstorm in vicinity                           :
   : 附近有雷暴                                  : Thundery outbreaks in nearby                       :
   : 未知降水                                    : Unknown precipitation                              :
   : 阵性未知降水                                : Unknown precipitation shower                       :
   : 未知降水伴雷暴                              : Unknown precipitation with thunderstorm            :
   : 火山灰                                      : Volcanic ash                                       :
   : 附近有火山灰                                : Volcanic ash in vicinity                           :
   : 附近有发展旺盛的尘/沙旋风                   : Well-developed dust/sand whirls in vicinity        :
   : 浮尘                                        : Widespread dust                                    :
